abc,avar,white,black,hisp,asian,oth,female,dis,takeup,treat
9,-59,0,1,0,0,0,1,0,0,0
25,322,0,1,0,0,0,1,0,1,1
25,-132,0,1,0,0,0,0,0,0,0
6,-340,0,1,0,0,0,0,0,0,0
24,234,0,1,0,0,0,1,0,1,1
16,-32,0,1,0,0,0,1,0,0,0
16,-103,1,0,0,0,0,1,0,0,0
26,31,0,1,0,0,0,1,0,1,1
9,176,0,1,0,0,0,0,0,1,1
20,-195,0,1,0,0,0,0,0,0,0
11,-258,1,0,0,0,0,1,0,0,0
22,296,0,0,1,0,0,1,0,1,1
17,240,1,0,0,0,0,1,0,1,1
26,15,0,1,0,0,0,1,0,1,1
24,190,0,1,0,0,0,0,0,1,1
0,-249,0,0,1,0,0,1,0,0,0
26,260,1,0,0,0,0,0,0,1,1
26,282,0,1,0,0,0,1,0,1,1
10,349,1,0,0,0,0,1,0,1,1
0,-239,1,0,0,0,0,1,0,0,0
26,127,1,0,0,0,0,0,0,1,1
1,-360,0,1,0,0,0,0,0,0,0
26,16,0,0,0,0,1,0,0,1,1
0,-167,0,1,0,0,0,1,0,0,0
26,179,0,1,0,0,0,1,0,1,1
15,4,0,1,0,0,0,0,0,1,1
21,225,0,1,0,0,0,0,0,1,1
26,169,0,0,1,0,0,1,0,1,1
26,362,1,0,0,0,0,1,0,1,1
0,-279,1,0,0,0,0,1,0,0,0
26,292,1,0,0,0,0,0,0,1,1
26,288,0,1,0,0,0,0,0,1,1
21,121,1,0,0,0,0,1,0,1,1
23,254,1,0,0,0,0,1,0,1,1
1,-135,0,1,0,0,0,0,0,0,0
24,305,1,0,0,0,0,1,0,1,1
25,-224,0,1,0,0,0,1,0,0,0
25,51,0,1,0,0,0,1,1,1,1
26,345,1,0,0,0,0,1,0,1,1
26,306,0,1,0,0,0,1,0,1,1
24,-178,1,0,0,0,0,1,0,0,0
25,153,1,0,0,0,0,1,0,1,1
25,272,1,0,0,0,0,1,0,1,1
21,-199,0,1,0,0,0,1,0,0,0
25,49,1,0,0,0,0,0,0,1,1
18,-234,0,0,1,0,0,1,0,0,0
25,324,0,0,1,0,0,1,0,1,1
22,172,0,1,0,0,0,0,0,1,1
22,-51,0,1,0,0,0,1,0,0,0
19,22,1,0,0,0,0,0,0,1,1
26,94,1,0,0,0,0,1,0,1,1
26,248,0,1,0,0,0,0,0,1,1
1,-133,1,0,0,0,0,0,0,0,0
2,-191,0,1,0,0,0,1,0,0,0
22,171,0,1,0,0,0,1,0,1,1
23,-291,0,1,0,0,0,1,0,0,0
26,-133,0,1,0,0,0,0,0,0,0
25,10,0,1,0,0,0,1,0,1,1
26,-118,0,1,0,0,0,1,0,0,0
21,112,0,1,0,0,0,0,0,1,1
6,-67,1,0,0,0,0,1,0,0,0
12,15,0,1,0,0,0,1,0,1,1
26,293,0,1,0,0,0,1,0,1,1
24,240,0,1,0,0,0,1,0,1,1
13,302,1,0,0,0,0,0,0,1,1
8,-32,0,1,0,0,0,0,0,0,0
11,-259,0,1,0,0,0,1,0,0,0
25,86,1,0,0,0,0,1,0,1,1
22,70,1,0,0,0,0,1,0,1,1
5,-341,0,1,0,0,0,0,0,0,0
26,196,0,1,0,0,0,1,0,1,1
18,-40,0,1,0,0,0,1,0,0,0
22,126,0,0,1,0,0,1,0,1,1
22,68,1,0,0,0,0,0,0,1,1
26,244,1,0,0,0,0,1,0,1,1
23,106,0,1,0,0,0,1,0,1,1
14,-255,1,0,0,0,0,1,0,0,0
4,-307,0,0,1,0,0,1,0,0,0
25,137,1,0,0,0,0,0,0,1,1
17,-144,1,0,0,0,0,0,0,0,0
20,353,0,1,0,0,0,0,0,1,1
8,238,0,1,0,0,0,1,0,1,1
6,-111,1,0,0,0,0,0,0,0,0
12,-284,1,0,0,0,0,1,0,0,0
25,196,0,1,0,0,0,0,0,1,1
23,355,0,0,1,0,0,1,0,1,1
6,-339,0,0,0,1,0,1,0,0,0
14,34,1,0,0,0,0,0,1,1,1
25,229,0,1,0,0,0,1,0,1,1
26,234,0,1,0,0,0,1,0,1,1
8,-254,1,0,0,0,0,0,0,0,0
26,94,1,0,0,0,0,0,0,1,1
26,228,0,0,0,0,1,1,0,1,1
9,345,1,0,0,0,0,0,0,1,1
2,-293,0,1,0,0,0,0,0,0,0
1,-200,1,0,0,0,0,0,0,0,0
25,200,0,0,1,0,0,1,0,1,1
11,355,0,0,1,0,0,0,0,1,1
0,-308,0,0,0,0,1,1,0,0,0
24,41,0,1,0,0,0,0,0,1,1
0,-328,0,1,0,0,0,0,0,0,0
22,-51,0,1,0,0,0,0,0,0,0
10,-51,1,0,0,0,0,0,0,0,0
26,297,0,1,0,0,0,1,0,1,1
26,236,1,0,0,0,0,0,0,1,1
26,99,1,0,0,0,0,0,0,1,1
20,256,0,0,1,0,0,1,0,1,1
3,-137,1,0,0,0,0,0,0,0,0
25,283,0,0,1,0,0,1,0,1,1
5,-45,0,1,0,0,0,0,0,0,0
1,-193,1,0,0,0,0,1,0,0,0
